Portland ALA
2020-3-1

100
,Todd ELLIOT,38,M,7:01,8:21,7:56,,,23:16,
,Otho BELKHAYAT,30,M,7:40,9:39,9:11,,,26:29:00,
,Ellis GAARD,11,M,8:34,9:39,8:41,,,26:54:00,
,Tom MEAGHER,59,M,8:34,9:15,9:25,,,27:13:00,
,Joseph SUBJECK,33,M,9:19,9:04,9:41,,,28:02:00,
,Jerome CASEY,70,M,9:45,10:15,10:00,,,30:00:00,
,Jennifer MING,48,F,8:45,11:41,10:01,,,30:26:00,
,Chris GRAM,31,M,11:49,9:53,8:56,,,30:37:00,
,Jeremy WEARN,31,M,11:53,9:44,9:33,,,31:09:00,
,Brendan MCCARTHY,52,M,8:10,8:23,14:47,,,31:19:00,
,Jeseika MITCHELL,34,F,9:43,10:51,10:47,,,31:20:00,
,Melissa ESPEJO,35,F,10:25,10:59,10:41,,,32:04:00,
,Kevin COLLING,48,M,14:03,7:06,14:35,,,35:44:00,
,Sean ROBERTS,32,M,11:09,11:46,13:02,,,35:57:00,
,Ella EBERWEIN,26,F,11:07,13:03,14:05,,,38:15:00,
,Leticia REYES,40,F,13:15,13:44,12:13,,,39:11:00,
,Cheyenne TREVINO,29,F,13:54,12:49,13:16,,,39:59:00,
,Johan MEIJER,60,M,13:23,14:17,13:25,,,41:03:00,
,Steele VALENZUELA,30,M,13:27,13:57,13:51,,,41:14:00,
,Kari SCHULFER,46,F,12:32,14:07,14:38,,,41:15:00,
,Chris HARDING,49,M,12:31,14:12,14:34,,,41:17:00,
,Leah MEIJER,32,F,13:40,14:03,13:44,,,41:26:00,
,Christopher POTTS,36,M,13:43,15:20,13:53,,,42:55:00,
,Camden COLLING,8,M,14:14,15:22,14:38,,,44:13:00,
,Pam MARESH,56,F,13:41,14:10,17:04,,,44:54:00,
,Cary KEOMUANGTAI,39,F,13:26,13:57,17:35,,,44:57:00,
,Shon STEFAN,51,M,19:12,17:37,14:56,,,51:45:00,
,Tamera WADLEIGH,58,F,14:45,23:07,22:39,,,1:00:30,
,Cathy GIDLEY,59,F,19:48,21:17,22:33,,,1:03:37,
,Karen LAKSAMANA,47,F,23:34,27:36:00,29:23:00,,,1:20:33,
,Cherry BERRY,70,F,23:56,27:35:00,29:47:00,,,1:21:18,
,Ben CHURCH,29,M,6:06,6:58,,,,13:04,
,Sam MANAFI,26,M,8:17,8:44,,,,17:00,
,Mary HINDAL,51,F,8:17,8:59,,,,17:15,
,Jen Collins COLLINS,40,F,8:15,9:01,,,,17:16,
,Piper ELLIOTT,36,F,8:22,9:21,,,,17:43,
,Kathryn THOMASON,38,F,9:55,10:27,,,,20:21,
,Tamra SKERJANEC,30,F,9:08,11:33,,,,20:41,
,Matthew MANZER,25,M,10:34,11:03,,,,21:36,
,James WIGGINTON,71,M,9:52,11:48,,,,21:40,
,Emily ALEY,46,F,11:06,11:34,,,,22:40,
,Jill SPENCER,33,F,11:32,11:34,,,,23:06,
,Sagan GERSABA,32,M,11:20,12:30,,,,23:49,
,Allyson RICHARD,31,F,12:26,13:44,,,,26:10:00,
,Erin CLOEFE,41,F,12:22,15:15,,,,27:36:00,
,Jerry COE,55,M,13:53,14:57,,,,28:49:00,
,Michelle PHAY,52,F,13:15,16:17,,,,29:31:00,
,Lisa CURTIS,54,F,15:36,18:05,,,,33:41:00,
,Crystal PAYNE,51,F,15:34,20:50,,,,36:23:00,
,Carol BROWN,72,F,16:14,21:45,,,,37:59:00,
,Retta ROBERTSON,67,F,18:11,19:48,,,,37:59:00,
,Jeffrey ROBERTSON,32,M,18:16,20:03,,,,38:18:00,
,Cheryl LOHMAN,71,F,19:01,21:37,,,,40:37:00,
,Rachel HART,49,F,19:26,21:41,,,,41:07:00,
