2019 FFA Springfield
2019-3-24

100
49,Jill Reich,,F,6,0:45:58,0:06:19,0:07:22,0:07:53,0:08:23,0:08:16,0:07:45,,,,,,
68,Meredith Caudill,,F,6,0:46:13,0:06:49,0:07:00,0:07:34,0:08:11,0:08:19,0:08:20,,,,,,
42,Paul Turner,,M,6,0:47:23,0:06:58,0:07:03,0:07:26,0:08:35,0:08:44,0:08:37,,,,,,
62,Kimberly Owens,,F,6,0:48:55,0:06:57,0:06:58,0:07:44,0:08:42,0:09:00,0:09:34,,,,,,
64,Mandi Tapscott,,F,6,0:51:18,0:07:31,0:07:50,0:08:31,0:09:08,0:09:19,0:08:58,,,,,,
63,Lisa Klaus-Ogden,,F,6,0:51:47,0:06:59,0:07:08,0:09:33,0:09:07,0:09:55,0:09:04,,,,,,
60,Ashley Archibee-Hadley,,F,6,0:52:37,0:05:47,0:07:04,0:08:23,0:09:52,0:11:25,0:10:06,,,,,,
24,Ashlee Foster,,F,5,0:29:12,0:04:32,0:06:31,0:06:00,0:06:07,0:06:03,,,,,,,
16,Cory Foster,,M,5,0:36:12,0:03:48,0:09:50,0:07:30,0:07:24,0:07:41,,,,,,,
69,Amber Potthoff,,F,5,0:44:23,0:07:21,0:08:45,0:09:12,0:09:48,0:09:17,,,,,,,
58,Dave Kestel,,M,5,0:48:02,0:06:45,0:06:47,0:08:32,0:12:01,0:13:58,,,,,,,
72,Samantha Rickman,,F,5,0:53:35,0:09:06,0:09:50,0:11:03,0:11:31,0:12:06,,,,,,,
33,Rachael Little,,F,4,0:33:23,0:05:44,0:09:26,0:09:50,0:08:24,,,,,,,,
76,Brenda Wilson,,F,4,0:36:26,0:07:10,0:09:00,0:10:37,0:09:39,,,,,,,,
79,Carolyn Guhman,,F,4,0:40:30,0:08:16,0:09:04,0:11:15,0:11:56,,,,,,,,
67,Barbara Corn,,F,4,0:46:47,0:08:11,0:10:42,0:13:30,0:14:25,,,,,,,,
78,Angie Bergschneider,,F,3,0:39:05,0:12:10,0:13:06,0:13:49,,,,,,,,,
80,Charlotte Spoon,,F,3,0:42:55,0:12:06,0:16:06,0:14:42,,,,,,,,,
56,Melanie Dunn,,F,3,0:43:35,0:12:30,0:16:34,0:14:32,,,,,,,,,
602,Chris Dienberg,,M,2,0:11:10,0:04:36,0:06:34,,,,,,,,,,
75,Jordan Thompson,,M,1,0:07:11,0:07:11,,,,,,,,,,,
81,Jennifer Thompson,,F,1,0:12:36,0:12:36,,,,,,,,,,,
