2023 Space Needle,,,,,,
2023-10-2,,,,,,
,,,,,,
,shiva bodhireddy,,M30-39,8:46.2,526.2,
,Paul Bergner,,M40-49,8:46.7,526.7,
,Kerrie Hecko,,F50-59,8:47.2,527.2,
,Alec Haahr,,M30-39,8:47.6,527.6,
,Ray Wong,,M40-49,8:48.4,528.4,
,Mark Bjerkestrand,,M50-59,8:48.5,528.5,
,Kathleen Benner,,F50-59,8:48.5,528.5,
,Keith Williams,,M50-59,8:49.3,529.3,
,David De La Flor,,M18-29,8:49.3,529.3,
,Tina O'Sullivan,,F50-59,8:50.9,530.9,
,TJ Zamora,,M30-39,8:51.0,531,
,Sean Owens,,M30-39,8:51.5,531.5,
,Adam Leache,,M40-49,8:53.5,533.5,
,Jordan Branch,,F18-29,8:54.8,534.8,
,Rian Johnson,,M40-49,8:55.5,535.5,
,Brett Harris,,M30-39,8:55.9,535.9,
,Monica Liu,,F18-29,8:56.3,536.3,
,Kelsey McClain,,F30-39,8:57.3,537.3,
,Tam Nguyen,,F40-49,8:58.0,538,
,Colleen Wrolstad,,F50-59,9:00.9,540.9,
,Christopher Clark,,M30-39,9:01.0,541,
,Allison Holmes,,F18-29,9:02.1,542.1,
,Jeff Liles,,Male-Elite,9:02.2,542.2,
,APOSTOLOS VLACHOS,,M40-49,9:02.6,542.6,
,Farooq Ahmad,,M40-49,9:02.8,542.8,
,Ashwin Krishnamoorthy,,M30-39,9:03.0,543,
,James McReynolds,,M40-49,9:03.0,543,
,Patrick McCauley 2,,M30-39,9:04.1,544.1,
,Kelly Leask,,F50-59,9:05.0,545,
,Khushbu Vyas,,F30-39,9:05.1,545.1,
,Daniel Porter,,M30-39,9:07.2,547.2,
,Heather Miller,,F50-59,9:08.9,548.9,
,Stan Ma,,M50-59,9:09.5,549.5,
,Ken Stanek 2,,M50-59,9:09.6,549.6,
,David Montanaro,,M60-69,9:09.6,549.6,
,Jessica Pan,,F18-29,9:09.6,549.6,
,Andrew Belousek,,NB40-49,9:09.9,549.9,
,Damon Pistulka,,M50-59,9:10.9,550.9,
,Rahim Kapadia,,M30-39,9:11.8,551.8,
,Sheri Sherrell,,F50-59,9:13.3,553.3,
,Isabel Pineda,,F40-49,9:13.6,553.6,
,Stephan Bourgond,,M30-39,9:13.9,553.9,
,Chris Longhurst,,M40-49,9:14.5,554.5,
,Jay Jenei,,M18-29,9:14.7,554.7,
,Rick Porter,,M70-79,9:15.4,555.4,
,Catherine Humbert,,F40-49,9:15.5,555.5,
,Rai Nelson 3,,F40-49,9:16.3,556.3,
,Alexander Keith,,M30-39,9:16.7,556.7,
