2025 FFA Columbus, OH,,,,,
2025-02-22,,,,,,
,,,,,,
  159,Greg Carignan,  64,M,  18:37.5,,
  160,Kathlyn Kunkel,  46,F,  18:38.6,,
  161,Paige Woodford,  23,F,  19:50.8,,
  162,Jeff Wolfe,  52,M,  19:58.2,,
  163,Kevin Laming,  24,M,  20:02.4,,
  164,Jenna Laming,  25,F,  20:02.8,,
  165,Keya Bhide,  16,F,  20:48.9,,
  166,Taral Padl,  60,M,  20:54.2,,
  167,Kelly Norris,  47,M,  20:59.8,,
  168,Jeff Cashner,  61,M,  21:11.1,,
  169,Emily Riley,  42,F,  21:13.1,,
  170,Kenny Spafford,  61,M,  21:20.8,,
  171,Dave Basile,  61,M,  21:43.9,,
  172,Amy Moffett,  41,F,  23:11.0,,
  173,Don Spiert,  61,M,  23:57.7,,
  174,Jen Cliff,  54,F,  24:01.8,,
  175,Matt Valantine,  46,M,  24:02.7,,
  176,Sally Latture,  55,F,  24:05.6,,
  177,Jen McGuckin,  54,F,  24:14.2,,
  178,Emily Walker,  37,F,  24:17.9,,
  179,Pamela Kaiser,  39,F,  24:31.1,,
  180,Sandeep Bhadbhade,  50,M,  25:04.2,,
  181,Amy Diller,  40,F,  25:34.2,,
  182,Jordan Diller,  39,M,  25:44.0,,
  183,Bill Trowbridge,  66,M,  26:15.8,,
  184,Trish Polko,  66,F,  26:33.9,,
  185,Timothy Moore,  69,M,  26:40.4,,
  186,Evelyn Brogan,  54,F,  26:52.9,,
  187,James Polko,  65,M,  26:55.1,,
  188,Carlina Brogan,  22,F,  26:57.9,,
  189,Emma Murphy,  21,F,  26:59.3,,
  190,Ned Martin,  76,M,  29:31.3,,
  191,Destiny Dansby,  41,F,  31:16.0,,
  192,Danielle Longworth,  40,F,  38:05.5,,
  193,Richard Owens,  54,M,  38:24.2,,
  194,Jacqueline Denton-S,  71,F,  39:01.5,,
  195,Henry Lee,  43,M,  39:53.8,,
  196,Grace Wolfe,  23,F,  40:07.8,,
  197,Jen Wolfe,  53,F,  40:08.0,,
,Joe Anderson,  50,M,,,
,Lane Anderson,  15,M,,,
,,,,,,
