556,Tori Skinner,60-69,F,9:20.70
1301,Carol Coram,70-79,F,9:21.25
280,Josh Cobbley,50-59,M,9:24.44
473,Todd Sanborn,30-39,M,9:24.92
1302,Bethany Dailey,30-39,F,9:25.20
1954,Brian Lancaster,18-29,M,9:25.34
502,Darwin Viernes,40-49,M,9:25.87
263,Andre Ellison,30-39,M,9:25.94
868,Paula Kennedy,50-59,F,9:26.30
1282,Alexis Beggan,18-29,F,9:26.40
1551,Nathan Purnel,18-29,M,9:26.83
121,Michelle Manning,50-59,F,9:27.54
1129,Tom Gallegos,60-69,M,9:28.05
151,Yulia Kidd,40-49,F,9:28.57
1383,Amy McClimans,30-39,F,9:28.68
915,Emily Harvey,40-49,F,9:29.20
1524,Brendan Mathias,30-39,M,9:29.40
25,Madeleine Fontillas Ronk,50-59,F,9:29.60
1406,Justin Meads,50-59,M,9:29.92
81,Ashley Janich,30-39,F,9:30.04
855,Erica Ho,30-39,F,9:30.72
1497,Alyssa Shepherd,30-39,F,9:31.06
1130,Julian Gallegos,18-29,M,9:31.37
1696,Eric Rittenhouse,50-59,M,9:31.72
708,Paul Kaplan,18-29,M,9:32.13
1450,Zack Llapitan,30-39,M,9:32.68
144,Peter Francis,70-79,M,9:32.78
138,Keerthi Suresh,30-39,M,9:33.15
57,Silvia Yépiz,40-49,F,9:33.24
1297,Kent Neumann,50-59,M,9:33.34
1989,Rochelle Romano,60-69,F,9:33.79
142,Abigail Osborne,18-29,F,9:34.18
1761,Sui Mei Kwong,60-69,F,9:35.47
1305,Peter Francis,70-79,M,9:35.73
164,Satish Choudhury,40-49,M,9:35.95
152,Bryce Bartlett,18-29,M,9:36.47
1330,Natalie Grasser,30-39,F,9:36.51
639,Tim Okolowicz,50-59,M,9:36.57
1671,Stephen Heath,40-49,M,9:36.60
408,Gary Chimes,50-59,M,9:36.66
452,Ernst Janson,70-79,M,9:36.84
1652,Joe Rovito,60-69,M,9:37.39
947,Zabette Macomber,50-59,F,9:37.45
1114,Grant Hadlich,30-39,M,9:38.30
709,Marissa Kaplan,18-29,F,9:38.55
387,Gregory Oliden,40-49,M,9:40.35
1564,Jeffrey Ricco,40-49,M,9:40.44
811,Sarah Cox,60-69,F,9:41.11
472,Hope Thompson,30-39,F,9:41.59
715,Alex Adacutt,30-39,M,9:42.13
444,Sarah Elmer,40-49,F,9:42.25
1298,Jeanne Marie Coronado,40-49,F,9:42.84
1200,Morgan Weaver,30-39,X,9:44.94
1281,Katia Beggan,18-29,F,9:45.25
1363,Andres Guerrero-Guzman,30-39,M,9:45.29
1788,Peter Francis,70-79,M,9:46.05
902,Chayton Galloway,18-29,M,9:46.17
567,Karen Wan,50-59,F,9:46.23
1170,Hugh Zeltner,18-29,M,9:47.04
1313,Kacey Figgat,30-39,M,9:49.21
258,Grant Hadlich,30-39,M,9:49.63
1173,Lilly Tian,18-29,F,9:49.94
748,Debbi Luchtel,60-69,F,9:50.59
1329,Wanda Meuy Saechin,30-39,F,9:50.99
724,Courtny Eng,40-49,F,9:51.22
1701,Alex Jensen,40-49,M,9:51.28
1553,Jodi Williams,50-59,F,9:51.56
2003,Katie Bilanko,40-49,F,9:51.68
1996,Manoj Panchalavarapu,18-29,M,9:51.70
1409,Sarah Crowley,40-49,F,9:52.15
700,Stephen Heath,40-49,M,9:52.24
543,Richard Venneri,60-69,M,9:52.71
588,Andy Parker,40-49,M,9:52.95
1071,Kyle Freeman,40-49,M,9:53.26
1565,Jeremy Matheis,40-49,M,9:53.27
1243,Sharell Thompson,40-49,F,9:54.16
1352,Steven Jefferies,40-49,M,9:54.51
416,Johanna Lampe,60-69,F,9:54.57
286,Raichael Nelson,40-49,F,9:55.47
672,Grant Hadlich,30-39,M,9:55.61
611,Dennis Whetten,40-49,M,9:56.31
1142,Justin Calkins,30-39,M,9:56.38
1791,Samson Chen,60-69,M,9:57.08
300,Vincent Liong,40-49,M,9:57.47
277,Protyusha DasNeogi,30-39,F,9:57.60
835,Paul Lichon,60-69,M,9:57.80
560,Doug Volle,30-39,M,9:58.20
1056,Jessica Thornberry,30-39,F,9:58.88
821,Julie Barker,50-59,F,9:58.99
491,Rebecca Williams,30-39,F,9:58.99
1651,Dennis Whetten,40-49,M,9:59.92
71,Mark Ashton,70-79,M,9:59.93
298,Peter Felts,40-49,M,10:00.04
1210,Stephen Heath,40-49,M,10:00.12
761,Jenny Hong,30-39,F,10:01.62
664,Daniel Schreiber,50-59,M,10:01.88
1804,Alicen Matthews,30-39,F,10:02.29
881,Natasha Lillo,40-49,F,10:03.15
497,Garrett Cry,30-39,M,10:03.32
1438,Francois Burianek,50-59,M,10:04.16
800,Arthur Enyedy,60-69,M,10:04.53
946,Kelly Macomber Straight,60-69,F,10:05.28
1808,Troy Bowers,40-49,M,10:05.34
1707,Kim Giannone,50-59,F,10:06.60
1023,Edward Palmer,70-79,M,10:06.81
1266,Kevin Schaps,40-49,M,10:07.04
437,Heather Rogers,30-39,F,10:07.37
475,Zoe Rasmussen,18-29,F,10:07.61
852,Danielle Saliba,40-49,F,10:07.76
1717,Antonino Deperalta,30-39,M,10:08.90
1720,Martin Kielczewski,40-49,M,10:09.50
150,Francesca Mazzola,30-39,F,10:10.01
634,Stephen McMannis,40-49,M,10:10.04
217,Jason Kobs,40-49,M,10:10.18
36,Irina Prolygina,30-39,F,10:10.24
220,Krista Daniel,40-49,F,10:10.76
1168,Tina Terada,50-59,F,10:11.34
1809,Kara Kelly,40-49,F,10:11.47
584,Brian Adams,60-69,M,10:12.04
485,Jeffrey Ott,40-49,M,10:12.57
1897,Blair Hanson,60-69,M,10:13.04
291,Rachel Fischer,40-49,F,10:13.25
468,Bronwynn Mitchelmore,40-49,F,10:13.84
294,Amy Carter,50-59,F,10:14.02
808,David Nelson,60-69,M,10:14.36
1451,Matthew Oldja-Rincon,18-29,M,10:14.51
512,Joe Mentele,60-69,M,10:15.05
1487,David Miller,40-49,M,10:15.21
1215,Ilan Birman,30-39,M,10:08.34
1711,Ilan Birman,30-39,M,10:08.38
1801,Michael Kostis,40-49,M,10:08.73
675,Rob Aldape,60-69,M,10:09.29
1216,Kim Thompson,40-49,F,10:09.39
1031,Lauren White,40-49,F,10:09.93
449,Ilan Birman,30-39,M,10:11.06
423,Andrew Winberry,40-49,M,10:11.91
1446,Janice Dorwin,70-79,F,10:12.24
547,Rodrigo Tarriba,30-39,M,10:13.52
1658,Katie Poole,50-59,F,10:15.02
849,Brenda Kuehlthau,50-59,F,10:15.65
1366,Paras Malhotra,40-49,M,10:16.12
1227,Andrew Castro,18-29,M,10:16.14
914,Danielle Whitis,30-39,F,10:17.04
1208,Thomas Schoelkopf,60-69,M,10:17.11
1992,Erik Johnson,50-59,M,10:17.84
1901,Kathryn Wilson,30-39,F,10:18.13
1228,Eduardo Ortuno,18-29,M,10:18.69
735,Thomas Nemeth,50-59,M,10:18.78
950,Anonymous Participant,50-59,F,10:19.71
1990,Anthony Coraggio,30-39,M,10:19.94
1119,Julia Flores,18-29,F,10:19.94
1118,Samantha Benson,30-39,F,10:19.98
459,Kevin Gahagan,60-69,M,10:21.21
260,Helecia Adams,40-49,F,10:21.50
546,Jacob Tyler,30-39,M,10:22.18
1414,Andrea Veatch,18-29,F,10:22.26
274,Anonymous Participant,60-69,M,10:22.44
713,Kyle Rolfe,40-49,M,10:22.96
1401,Anthony Grob,60-69,M,10:23.96
1575,Mike Mulick,50-59,M,10:24.82
482,Missy Green,40-49,F,10:25.22
384,Katie Walker,30-39,F,10:25.58
959,Molly Smith,18-29,F,10:26.35
977,Jessica Souyoultzis,50-59,F,10:26.48
50,Rob Aldape,60-69,M,10:26.91
1046,Brian Tschider,60-69,M,10:27.26
1874,Tyler Beam,40-49,M,10:27.35
951,Christian Richard,50-59,M,10:27.50
820,Susan Tuller,60-69,F,10:27.69
2019,Niccolina Merlino,18-29,F,10:27.96
1045,Phyllis Fischer,50-59,F,10:28.09
1437,Susan Burianek,50-59,F,10:28.46
1176,Raden Cuntapay,18-29,F,10:29.65
2020,Connor Sesnon,18-29,M,10:29.76
769,Stacey Cohen,40-49,F,10:29.77
653,Kristen Clifton,60-69,F,10:29.96
956,Samantha Reimer,18-29,F,10:30.56
2008,Arianna Smith,18-29,F,10:30.73
1158,Seungho Park,30-39,M,10:31.02
160,Toni Voorhies,60-69,F,10:31.50
1510,Hector Ramirez,50-59,M,10:32.27
1120,Lillian Miller,18-29,F,10:32.88
1849,Kuangyi Liu,40-49,F,10:33.07
1577,Colleen Molloy,30-39,F,10:33.08
1547,Mike Castilleja,40-49,M,10:34.54
383,Brian Lowe,50-59,M,10:34.68
1999,Jeff Rettig,50-59,M,10:35.25
1066,Chris Longhurst,40-49,M,10:35.36
1755,Laura Lagerstedt,50-59,F,10:35.43
165,Nicole Rendahl,50-59,F,10:35.97
681,Michelle Manning,50-59,F,10:36.03
1291,Chris Connair,30-39,M,10:36.43
866,Katia Roelz,40-49,F,10:37.55
122,Loren Ariza,40-49,M,10:37.62
1404,Jessica Cole,30-39,F,10:37.66
1660,Emily Chambers,40-49,F,10:38.30
149,Jennifer Couzens,40-49,F,10:38.72
279,Erik Simon,50-59,M,10:39.18
1037,Dawn James,50-59,F,10:39.34
676,David Hanley,50-59,M,10:39.64
607,Kate Kerschbaum,50-59,F,10:41.85
292,Christi Hendrickson,40-49,F,10:42.40
822,Phil Hilgert,70-79,M,10:42.92
698,Jo-Anne Hongo,60-69,F,10:42.95
963,Christina Paoletti,18-29,F,10:43.72
1542,Amy Khan,50-59,F,10:45.98
2,Zev Behar,30-39,M,10:47.29
469,Mallory Dawson,30-39,F,10:47.55
1825,Tiffany Rodriguez,40-49,F,10:47.91
606,Matt Berry,30-39,M,10:48.74
1960,Kristi Sartnurak,40-49,F,10:48.78
1131,Alyse Yeaman,40-49,F,10:48.96
38,Marc Lauzon,50-59,M,10:49.81
1040,Cami Rutkowski,50-59,F,10:50.00
953,Brian Soriano,50-59,M,10:50.48
1518,Natalie Putnam,18-29,F,10:50.61
293,Ronald Mursewick,60-69,M,10:50.77
717,Kate Riley,40-49,F,10:50.83
1340,Allen Perez,40-49,M,10:51.18
494,Christina Schlack,40-49,F,10:51.88
1854,Mo Diehl,30-39,F,10:52.09
470,Jack McGrath,30-39,M,10:52.20
1499,Matthew Perkins,30-39,M,10:52.30
1812,Richard Poole,70-79,M,10:52.61
630,Forrest Smith,60-69,M,10:52.67
1853,Katarzyna Swica,30-39,F,10:54.13
1379,Jessica Wilson,40-49,F,10:54.26
1292,Saarini Bagga,30-39,F,10:54.37
456,Lisa Aspessi,40-49,F,10:54.53
1559,Debora Carney,40-49,F,10:55.60
1324,Carolyn Wallace,40-49,F,10:55.91
701,Raichael Nelson,40-49,F,10:56.86
1903,Fred Kaguathi,40-49,M,10:57.22
1839,Christopher Robertson,50-59,M,10:57.29
1816,Dawn Torres,60-69,F,10:57.35
1952,Sarah Lancaster,60-69,F,10:58.10
673,Ronald Mursewick,60-69,M,10:59.73
1855,Kelsea Franklin,40-49,F,11:00.13
1713,Dani McIntyre,50-59,F,11:01.19
1683,Gina Mortimer,50-59,F,11:01.34
860,Krissy Ozaki,30-39,F,11:01.60
1866,Emily Fishkind,50-59,F,11:03.66
216,Devin Wayne,40-49,F,11:05.20
1425,Brian Marchello,40-49,M,11:05.46
648,Mandie Capps,30-39,F,11:05.57
819,Billy West,40-49,M,11:05.87
595,Alicia Chunn,40-49,F,11:06.30
1994,Duane Yates,30-39,M,11:06.35
335,Rachel Newman,30-39,F,11:06.38
1134,Emily Combs,30-39,F,11:06.55
1636,Chris Morgans,50-59,M,11:06.94
1826,Matthew Smith,50-59,M,11:07.33
856,Chyan Pascua,30-39,F,11:07.35
1859,Kelsey Miller,30-39,F,11:07.56
809,Terry Perdue,80-89,M,11:07.60
1029,Christine Elting,30-39,F,11:08.12
1803,Brandon Enyeart,30-39,M,11:09.03
1349,Sterling Cassel,50-59,M,11:09.41
1030,Mackenzie Jensen,30-39,F,11:10.45
1754,Brian Gott,18-29,M,11:10.67
757,Valerie Hinkle,18-29,F,11:11.24
1841,Troy Smith,50-59,M,11:11.25
1581,Travis Arnold,40-49,M,11:11.76
859,Lori Mitchell,60-69,F,11:11.77
1570,Tara Ash,40-49,F,11:11.77
1267,Nicole Bartlett,30-39,F,11:12.01
1504,Jigna Patel,40-49,F,11:12.46
1427,Jeri Mumma,60-69,F,11:12.91
1667,Talisa Sotelo,30-39,F,11:13.46
1887,Nana Byrd,70-79,F,11:13.51
862,Matt Jensen,50-59,M,11:13.91
129,Rose Peterson,60-69,F,11:14.14
285,Mark Maszak,50-59,M,11:16.36
882,Michael Martin,40-49,M,11:16.54
223,Jeremy Matheis,40-49,M,11:19.03
971,Kelly Cassady,40-49,F,11:19.68
1820,Adam Kraft,40-49,M,11:20.67
1939,Jeff Aspnes,60-69,M,11:21.87
668,Sage LaTorra,30-39,M,11:22.18
403,Elizabeth Cobb,18-29,F,11:23.07
1943,Anonymous Participant,50-59,F,11:23.95
333,Camille Fain,18-29,F,11:24.23
814,Ron Copstead,70-79,M,11:25.80
324,Theresa Cannon,60-69,F,11:25.88
1885,Renee Kaufer,50-59,F,11:26.04
773,Debra Carney,40-49,F,11:26.64
1862,Ginnise Comstock,50-59,F,11:27.53
318,Sarah Allen,60-69,F,11:27.81
224,Holly Beck,60-69,F,11:28.26
1439,Alan Jablonski,50-59,M,11:28.67
1684,Jordan Royal,50-59,F,11:29.25
825,Anonymous Participant,30-39,M,11:29.89
883,Omar Santos,40-49,M,11:30.64
49,Lilac Muller,50-59,F,11:31.10
1207,Greg McKinney,60-69,M,11:31.67
600,Jayla Cureton,18-29,F,11:32.42
222,Jeffrey Ricco,40-49,M,11:33.09
1980,Christina Zakarian,18-29,F,11:34.30
729,Travis Arnold,40-49,M,11:34.36
1241,Heather Savery,30-39,F,11:34.53
522,Ken Cates,70-79,M,11:34.88
707,Kavana Anand,30-39,F,11:36.34
514,Pete Mentele,60-69,M,11:36.63
1441,Alex Thulin,50-59,M,11:36.87
406,Amanda Packer,40-49,F,11:38.10
290,Christopher Lloyd,40-49,M,11:38.25
2005,Alexis Cusick,18-29,F,11:39.20
308,Dana Mifflin,40-49,M,11:40.86
307,Paula Matthews,70-79,F,11:41.01
1443,Amy Sheridan,50-59,F,11:41.50
833,Abdullah Mughrabi,30-39,M,11:41.80
1880,Kelli Grobler,50-59,F,11:42.04
1059,Jessie Thomas,30-39,F,11:42.57
1178,Aimee Barlow,40-49,F,11:42.71
528,Ferdi Biscocho,60-69,M,11:43.07
1235,Shawna Fuller,50-59,F,11:43.09
255,Zerene Gurian,40-49,F,11:43.28
1456,Janelle David,30-39,F,11:44.16
460,Kong Cheung,50-59,M,11:44.17
843,Tara Ash,40-49,F,11:44.26
2041,Gergana McGahan,40-49,F,11:44.57
1148,Indira Ismailova,40-49,F,11:45.00
813,Tamara Stevens,50-59,F,11:45.82
1457,Jack David,50-59,M,11:46.05
1515,Catherine Captain,50-59,F,11:47.30
982,Daron Henry,50-59,M,11:47.45
1886,Andrew Taylor,60-69,M,11:47.94
659,Mitchell Bettis,18-29,M,11:48.11
327,Jo-Anne Hongo,60-69,F,11:49.56
1332,Steve Coseo,60-69,M,11:49.75
123,Jennifer Ori,30-39,F,11:50.48
777,Michael Roos,18-29,M,11:53.47
916,Henry Apfel,30-39,M,11:53.88
667,Stephen Fogdall,50-59,M,11:54.74
1552,Daniel Fleming,30-39,M,11:55.33
1061,Caryna McAllister,30-39,F,11:56.17
967,Patrick Maxwell,30-39,M,11:58.01
1336,Cameron Walker,40-49,M,11:58.94
1527,Jenica Noviello,30-39,F,11:58.98
1337,Lynda Churchfield,70-79,F,11:59.26
580,Cheri Guthrie,50-59,F,11:59.76
776,Emilie Rajka,18-29,F,12:00.07
656,Gwen Davis,40-49,F,12:00.47
955,Tyler Bryant,30-39,M,12:00.56
747,Sheri Vahey,50-59,F,12:01.09
2059,Julie Wentzel,50-59,F,12:01.79
1214,Ron Mursewick,60-69,M,12:01.92
427,Eric Johnson,60-69,M,12:01.94
594,Francis Cheung,50-59,M,12:01.94
968,Michael Tsukada,70-79,M,12:01.94
417,Lisa Brody,60-69,F,12:03.66
759,Christopher Macpherson,30-39,M,12:04.80
2040,Edward Swanson,30-39,M,12:05.27
1703,Nicolette Jensen,40-49,F,12:06.12
655,Nicholas Connolly,18-29,M,12:06.37
219,Teresa Goethe,70-79,F,12:06.73
1338,Kelly Walker,40-49,F,12:06.88
299,Aspen Swartz,50-59,F,12:07.04
957,Carla Reimer,30-39,F,12:07.25
1205,Raichael Nelson,40-49,F,12:09.64
954,Michelle Bryant,30-39,F,12:10.30
1315,Johnny Trash,60-69,M,12:11.88
1403,TerriAnn Schiferl,50-59,F,12:12.30
966,Zoe Castle,30-39,F,12:12.64
1632,Stephen Schuler,70-79,M,12:12.85
226,Elizabeth McDaniel,30-39,F,12:13.20
1217,Karina Stangeland,18-29,F,12:13.24
851,Fran Rush,60-69,F,12:13.74
1167,Angela Haga,50-59,F,12:13.91
1177,Emma Gieseke,18-29,F,12:14.06
1850,Marissa Bovee,40-49,F,12:14.14
1860,Terry Tieman,40-49,M,12:14.57
948,Madi Mitchell,30-39,F,12:15.82
1721,Steve Miranda,60-69,M,12:15.99
515,Thomas Schoelkopf,60-69,M,12:16.64
652,Matthew Fogdall,40-49,M,12:16.77
771,Daniella Taylor,50-59,F,12:17.24
342,Mary Duncan,50-59,F,12:17.84
1572,Raichael Nelson,40-49,F,12:18.00
645,Timothy MacNary,30-39,M,12:18.15
1413,Zoe Rose,18-29,F,12:18.33
